created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 19:21:51 +0000 2024;1749150334126313587;"@gibran_tweet Gibran tanpa moral dan etika lebih baik cari capres yg bener-bener punya integritas!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714891817601384448;1749099183049687332;HermanSyhz;https://twitter.com/HermanSyhz/status/1749150334126313587
Sun Jan 21 19:21:51 +0000 2024;1749150332490510506;"@UmarSyadatHsb__ Rakyat pasti ogak pilih Gibran kayak hantu politik  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714235021454934016;1749130937542320239;melyaputr;https://twitter.com/melyaputr/status/1749150332490510506
Sun Jan 21 19:21:51 +0000 2024;1749150330938699975;"@siQipak @louviiievi @PartaiSocmed Klo salah kok gak kena sanksi? Logika aja dong bos, Anwar dan Gibran harusnya kena juga dong😝";0;1;0;0;in;1292723593055354881;1749114765811843544;hrts12_;https://twitter.com/hrts12_/status/1749150330938699975
Sun Jan 21 19:21:50 +0000 2024;1749150328464052608;"@UmarSyadatHsb__ Rakyat ogak pilih Gibran tanpa etika kayak hantu horor  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1720020026420596736;1749130937542320239;hasanbasriacoy;https://twitter.com/hasanbasriacoy/status/1749150328464052608
Sun Jan 21 19:21:49 +0000 2024;1749150324454277567;"@UmarSyadatHsb__ Ponakan MK cacat moral dan etika bisa apa dia nanti?  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1717131808490631168;1749130937542320239;ardikenzoo;https://twitter.com/ardikenzoo/status/1749150324454277567
Sun Jan 21 19:21:49 +0000 2024;1749150322340266204;"@UmarSyadatHsb__ Ponakan MK yang cacat moral ogak bisa diandalkan!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714271515028647936;1749130937542320239;novvallfrmnsyah;https://twitter.com/novvallfrmnsyah/status/1749150322340266204
Sun Jan 21 19:21:48 +0000 2024;1749150317613342898;"@UmarSyadatHsb__ Anak muda kesal Gibran tanpa etika!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1717121260369666048;1749130937542320239;rizkiaidann;https://twitter.com/rizkiaidann/status/1749150317613342898
Sun Jan 21 19:21:47 +0000 2024;1749150315746820528;"@gibran_tweet Gibran capres songong yg cacat moral  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1726056165484941313;1749099183049687332;kiranawindii;https://twitter.com/kiranawindii/status/1749150315746820528
Sun Jan 21 19:21:47 +0000 2024;1749150314626941352;"Gibran ngomong greenflation aja pada ngira green fashion. Mas Gibran, yg jelas ngomongnya. Gue &amp  temen² kelas di itebe kalau tanya cuma gitu doang &amp  nggak ada substansinya, udh dislepet dosen. Ngapain tanya² gituan kl di google ada 🙃";0;1;0;1;in;1288300910263730176;1749150314626941352;pacarlimjaebeom;https://twitter.com/pacarlimjaebeom/status/1749150314626941352
Sun Jan 21 19:21:46 +0000 2024;1749150311871369495;"@BangPino__ Capres dan cawapres 02 tanpa moral dan etika!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1712347240457744384;1749073624894669133;aldiantomahsya;https://twitter.com/aldiantomahsya/status/1749150311871369495
Sun Jan 21 19:21:45 +0000 2024;1749150305156264380;"@UmarSyadatHsb__ Gibran debat malam ini malu-maluin!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1714928274307231745;1749130937542320239;jayaajuma;https://twitter.com/jayaajuma/status/1749150305156264380
